Hotel_Name,Room_Type,Room_Price,Top_Comment,Rating,Total_Reviews,Hotel_Link
THE K HOTEL,Double Room,"PKR 12,771",Review score,6.8,92 reviews,https://www.booking.com/hotel/ae/the-k-dubai2.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=48&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=940695901_366329383_0_0_0&highlighted_blocks=940695901_366329383_0_0_0&matching_block_id=940695901_366329383_0_0_0&sr_pri_blocks=940695901_366329383_0_0_0__17700&tpi_r=2&from=searchresults#hotelTmpl
Taj Dubai,Luxury Twin Room With Burj View,"PKR 140,332",Fabulous,8.8,"5,436 reviews",https://www.booking.com/hotel/ae/taj-dubai-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=49&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=130513408_368945169_2_42_0&highlighted_blocks=130513408_368945169_2_42_0&matching_block_id=130513408_368945169_2_42_0&sr_pri_blocks=130513408_368945169_2_42_0__194500&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Grand Mayfair Hotel,Deluxe room,"PKR 13,634",Review score,5.7,"2,288 reviews",https://www.booking.com/hotel/ae/mayfair.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=50&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__18897&tpi_r=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"TIME Grand Plaza Hotel, Dubai Airport",Deluxe King Room,"PKR 22,965",Good,7.8,"2,541 reviews",https://www.booking.com/hotel/ae/layia-plaza.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=51&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=25690804_0_2_1_0&highlighted_blocks=25690804_0_2_1_0&matching_block_id=25690804_0_2_1_0&sr_pri_blocks=25690804_0_2_1_0__31829&tpi_r=1&from=searchresults#hotelTmpl
Grand Nova Hotel,Double or Twin Room,"PKR 14,372",Review score,5.3,"1,095 reviews",https://www.booking.com/hotel/ae/dubai-nova.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=52&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=46665909_266489946_2_2_0&highlighted_blocks=46665909_266489946_2_2_0&matching_block_id=46665909_266489946_2_2_0&sr_pri_blocks=46665909_266489946_2_2_0__19920&tpi_r=2&from=searchresults#hotelTmpl
Queens Hotel,Standard Twin Room,"PKR 11,278",Review score,4.6,210 reviews,https://www.booking.com/hotel/ae/queens.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=53&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=177184503_0_2_0_0&highlighted_blocks=177184503_0_2_0_0&matching_block_id=177184503_0_2_0_0&sr_pri_blocks=177184503_0_2_0_0__15632&tpi_r=1&from=searchresults#hotelTmpl
Moscow Hotel,Standard Twin Room,"PKR 53,008",Review score,6.6,"2,087 reviews",https://www.booking.com/hotel/ae/moscow.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=54&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=18809306_264853968_0_41_0&highlighted_blocks=18809306_264853968_0_41_0&matching_block_id=18809306_264853968_0_41_0&sr_pri_blocks=18809306_264853968_0_41_0__73469&tpi_r=2&from=searchresults#hotelTmpl
Tulip Hotel Apartments,One-Bedroom Apartment,"PKR 23,961",Review score,5.4,"1,123 reviews",https://www.booking.com/hotel/ae/tulip-apartments.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=55&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=7942902_88788987_0_2_0&highlighted_blocks=7942902_88788987_0_2_0&matching_block_id=7942902_88788987_0_2_0&sr_pri_blocks=7942902_88788987_0_2_0__33210&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Monaco Hotel,Double or Twin Room,"PKR 16,595",Review score,6.7,"1,604 reviews",https://www.booking.com/hotel/ae/al-hamra-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=56&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=34564808_298304273_0_0_0&highlighted_blocks=34564808_298304273_0_0_0&matching_block_id=34564808_298304273_0_0_0&sr_pri_blocks=34564808_298304273_0_0_0__23000&tpi_r=2&from=searchresults#hotelTmpl
Marco Polo Hotel,Standard Double Room,"PKR 19,175",Review score,6.2,"1,054 reviews",https://www.booking.com/hotel/ae/marco-polo.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=57&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=6847811_0_2_0_0&highlighted_blocks=6847811_0_2_0_0&matching_block_id=6847811_0_2_0_0&sr_pri_blocks=6847811_0_2_0_0__26577&tpi_r=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Pearl Swiss Hotel,Superior King Room,"PKR 29,221",Good,7.0,"1,541 reviews",https://www.booking.com/hotel/ae/pearl-swiss.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=58&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=819105501_344524625_2_42_0&highlighted_blocks=819105501_344524625_2_42_0&matching_block_id=819105501_344524625_2_42_0&sr_pri_blocks=819105501_344524625_2_42_0__40500&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Edge Creekside Hotel,Deluxe King Room,"PKR 46,898",Fabulous,8.9,"2,278 reviews",https://www.booking.com/hotel/ae/jannah-creekside.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=59&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=604405301_237102396_2_10_0&highlighted_blocks=604405301_237102396_2_10_0&matching_block_id=604405301_237102396_2_10_0&sr_pri_blocks=604405301_237102396_2_10_0__65000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Swissôtel Al Murooj Dubai,Classic King Room,"PKR 108,153",Good,7.5,"6,068 reviews",https://www.booking.com/hotel/ae/roda-al-murooj-hotel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=60&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=6723499_275243332_2_34_0&highlighted_blocks=6723499_275243332_2_34_0&matching_block_id=6723499_275243332_2_34_0&sr_pri_blocks=6723499_275243332_2_34_0__149900&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Royal Continental Suites Business Bay - Deluxe Apartments,Studio Apartment City View,"PKR 78,896",Very good,8.5,"1,232 reviews",https://www.booking.com/hotel/ae/royal-continental-suites.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=61&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=639267201_254845262_2_0_0&highlighted_blocks=639267201_254845262_2_0_0&matching_block_id=639267201_254845262_2_0_0&sr_pri_blocks=639267201_254845262_2_0_0__109350&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Arabian Courtyard Hotel & Spa,"Deluxe Room with 20% off Food, Beverage and Spa","PKR 23,142",Review score,6.8,"1,025 reviews",https://www.booking.com/hotel/ae/arabian-courtyard-spa.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=62&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=6726617_0_2_0_0&highlighted_blocks=6726617_0_2_0_0&matching_block_id=6726617_0_2_0_0&sr_pri_blocks=6726617_0_2_0_0__32075&tpi_r=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"Crowne Plaza Dubai Deira, an IHG Hotel",Deluxe Room,"PKR 52,597",Good,7.5,"2,318 reviews",https://www.booking.com/hotel/ae/crown-plaza-deira.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=63&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=29407512_94398653_3_42_0&highlighted_blocks=29407512_94398653_3_42_0&matching_block_id=29407512_94398653_3_42_0&sr_pri_blocks=29407512_94398653_3_42_0__72900&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",King Heritage Room,"PKR 43,290",Very good,8.2,"1,967 reviews",https://www.booking.com/hotel/ae/curio-collection-by-hilton-al-seef-heritage.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=64&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=372226405_244921327_2_42_0&highlighted_blocks=372226405_244921327_2_42_0&matching_block_id=372226405_244921327_2_42_0&sr_pri_blocks=372226405_244921327_2_42_0__60000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
DoubleTree by Hilton Dubai Jumeirah Beach,One-Bedroom Family Suite,"PKR 124,026",Very good,8.1,"1,628 reviews",https://www.booking.com/hotel/ae/doubletree-by-hilton.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=65&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=105681503_190811809_2_42_0&highlighted_blocks=105681503_190811809_2_42_0&matching_block_id=105681503_190811809_2_42_0&sr_pri_blocks=105681503_190811809_2_42_0__171900&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"InterContinental Dubai Marina, an IHG Hotel",One Kingbed Classic Room,"PKR 115,368",Very good,8.5,"1,405 reviews",https://www.booking.com/hotel/ae/intercontinental-dubai-marina.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=66&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=137049614_87879311_3_42_0&highlighted_blocks=137049614_87879311_3_42_0&matching_block_id=137049614_87879311_3_42_0&sr_pri_blocks=137049614_87879311_3_42_0__159900&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Novotel Jumeirah Village Triangle,Superior Twin Room with City View,"PKR 36,075",Good,7.6,"4,058 reviews",https://www.booking.com/hotel/ae/novotel-jumeirah-village-triangle.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=67&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=801513806_341542275_2_42_0&highlighted_blocks=801513806_341542275_2_42_0&matching_block_id=801513806_341542275_2_42_0&sr_pri_blocks=801513806_341542275_2_42_0__50000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"sleep 'n fly Sleep Lounge, Dubai Airport, D-Gates (Terminal 1)",Double YAWN lite Cabin - 6 Hour Morning Stay from 07:00-13:00 hrs (7am-1pm) on Check-Out Date,"PKR 17,574",Review score,6.4,518 reviews,https://www.booking.com/hotel/ae/sleep-39-n-fly-sleep-lounge-dubai-airport-d-gates-terminal-1.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=68&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=586928502_337985958_2_0_0&highlighted_blocks=586928502_337985958_2_0_0&matching_block_id=586928502_337985958_2_0_0&sr_pri_blocks=586928502_337985958_2_0_0__24357&tpi_r=2&from=searchresults#hotelTmpl
Royalton Hotel,Standard Queen Room,"PKR 9,495",Review score,4.6,816 reviews,https://www.booking.com/hotel/ae/royalton.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=69&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=23660701_0_2_0_0&highlighted_blocks=23660701_0_2_0_0&matching_block_id=23660701_0_2_0_0&sr_pri_blocks=23660701_0_2_0_0__13160&tpi_r=1&from=searchresults#hotelTmpl
Anantara The Palm Dubai Resort,Premier Lagoon View Room,"PKR 139,462",Very good,8.4,"2,606 reviews",https://www.booking.com/hotel/ae/anantara-dubai-the-palm-resort-amp-spa.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=70&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=59381701_0_2_0_0&highlighted_blocks=59381701_0_2_0_0&matching_block_id=59381701_0_2_0_0&sr_pri_blocks=59381701_0_2_0_0__193294&tpi_r=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Cloud9 hostel,Economy Double Room,"PKR 5,844",Review score,6.6,68 reviews,https://www.booking.com/hotel/ae/cloud9-hostel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=71&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=939819501_366273239_2_0_0&highlighted_blocks=939819501_366273239_2_0_0&matching_block_id=939819501_366273239_2_0_0&sr_pri_blocks=939819501_366273239_2_0_0__8100&tpi_r=2&from=searchresults#hotelTmpl
"Staybridge Suites Dubai Financial Centre, an IHG Hotel",Studio Suite,"PKR 90,188",Very good,8.3,"1,340 reviews",https://www.booking.com/hotel/ae/staybridge-suites-dubai-financial-centre-an-ihg-hotel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=72&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=6725447_362339504_2_1_0&highlighted_blocks=6725447_362339504_2_1_0&matching_block_id=6725447_362339504_2_1_0&sr_pri_blocks=6725447_362339504_2_1_0__125000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Concorde Palace Hotel,Family Room,"PKR 19,481",Review score,6.8,198 reviews,https://www.booking.com/hotel/ae/concorde-palace.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=73&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=870255707_355667820_2_2_0&highlighted_blocks=870255707_355667820_2_2_0&matching_block_id=870255707_355667820_2_2_0&sr_pri_blocks=870255707_355667820_2_2_0__27000&tpi_r=2&from=searchresults#hotelTmpl
Hyatt Centric Jumeirah Dubai,Twin Room,"PKR 86,580",Very good,8.5,737 reviews,https://www.booking.com/hotel/ae/hyatt-centric-jumeirah-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=74&sr_order=popularity&srpvid=ab814123ccc303c3&srepoch=1677748553&all_sr_blocks=789557704_338644999_2_2_0&highlighted_blocks=789557704_338644999_2_2_0&matching_block_id=789557704_338644999_2_2_0&sr_pri_blocks=789557704_338644999_2_2_0__120000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
